epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2744.38,1.1954,0.65505,1.06923,0.95537,0.61666,0.67876,0.46102,1.13863,0.53218,1.06822,0.000848969,0.000848969,0.000848969
43,2806,1.1877,0.65649,1.06478,0.95975,0.61203,0.67335,0.45967,1.13538,0.53068,1.06489,0.000834822,0.000834822,0.000834822
44,2867.94,1.18673,0.64852,1.05988,0.62609,0.67233,0.67434,0.46024,1.13622,0.52652,1.06299,0.000820675,0.000820675,0.000820675
45,2929.32,1.18897,0.65269,1.06686,0.63556,0.66679,0.67738,0.46429,1.12917,0.52407,1.06041,0.000806528,0.000806528,0.000806528
46,2992.94,1.18308,0.65287,1.06123,0.65207,0.67334,0.68738,0.46875,1.13138,0.52377,1.06096,0.00079238,0.00079238,0.00079238
47,3055.58,1.17178,0.64178,1.06211,0.65411,0.66562,0.68641,0.46817,1.13232,0.52115,1.06441,0.000778233,0.000778233,0.000778233
48,3118.03,1.17635,0.6481,1.06325,0.96145,0.61392,0.68547,0.47004,1.11649,0.51602,1.0575,0.000764086,0.000764086,0.000764086
49,3180.88,1.17867,0.63817,1.05906,0.65051,0.68226,0.69251,0.47299,1.12355,0.51607,1.05959,0.000749939,0.000749939,0.000749939
50,3243.77,1.17226,0.63346,1.05535,0.63325,0.67941,0.68746,0.47156,1.12292,0.51271,1.05713,0.000735792,0.000735792,0.000735792
51,3306.49,1.17196,0.63518,1.05157,0.63648,0.68425,0.68543,0.4689,1.12176,0.51796,1.05866,0.000721645,0.000721645,0.000721645
52,3369.63,1.1697,0.63609,1.05925,0.67508,0.68484,0.70204,0.48011,1.11412,0.50513,1.05615,0.000707498,0.000707498,0.000707498
53,3432.3,1.16587,0.62915,1.05647,0.67631,0.69208,0.70987,0.48816,1.11594,0.50173,1.05565,0.000693351,0.000693351,0.000693351
54,3494.93,1.16874,0.62776,1.05454,0.6612,0.70059,0.70784,0.4866,1.10685,0.50181,1.0532,0.000679204,0.000679204,0.000679204
55,3557.5,1.15861,0.62445,1.05042,0.68719,0.71195,0.72093,0.49886,1.09845,0.49285,1.04978,0.000665057,0.000665057,0.000665057
56,3620.72,1.1581,0.61793,1.05175,0.67709,0.71807,0.71924,0.49738,1.10155,0.49287,1.05096,0.000650909,0.000650909,0.000650909
57,3684.25,1.15034,0.61603,1.0483,0.69589,0.70369,0.71404,0.49497,1.0947,0.49163,1.04391,0.000636762,0.000636762,0.000636762
58,3746.75,1.15105,0.60675,1.04885,0.7246,0.71664,0.73853,0.51098,1.09149,0.48983,1.04447,0.000622615,0.000622615,0.000622615
59,3809.37,1.15381,0.61902,1.05059,0.7147,0.73051,0.74351,0.5146,1.08616,0.48568,1.04075,0.000608468,0.000608468,0.000608468
60,3871.98,1.1529,0.61386,1.05236,0.72541,0.71795,0.73218,0.50858,1.09183,0.48752,1.04409,0.000594321,0.000594321,0.000594321
61,3935.28,1.14309,0.60565,1.04399,0.7312,0.73484,0.7472,0.51841,1.07963,0.47811,1.0389,0.000580174,0.000580174,0.000580174
62,3997.77,1.14617,0.60442,1.04715,0.7307,0.74081,0.75248,0.52426,1.08012,0.479,1.03924,0.000566027,0.000566027,0.000566027
63,4061.37,1.13741,0.59293,1.04018,0.73716,0.74255,0.75601,0.52493,1.08023,0.47905,1.03892,0.00055188,0.00055188,0.00055188
64,4123.81,1.13404,0.60284,1.04297,0.74446,0.75065,0.76032,0.52973,1.08096,0.47408,1.04002,0.000537733,0.000537733,0.000537733
